t,imu_accel_true_x,imu_accel_meas_x,imu_gyro_true_x,imu_gyro_meas_x,seeker_los_true,seeker_los_meas
1.205,-59.4742856,-59.4742856,0,0,0.346696841,0.346696841
1.21,-59.4405799,-59.4405799,0,0,0.346623052,0.346623052
1.215,-59.4068429,-59.4068429,0,0,0.346549449,0.346549449
1.22,-59.3730748,-59.3730748,0,0,0.34647603,0.34647603
1.225,-59.3392761,-59.3392761,0,0,0.346402796,0.346402796
1.23,-59.3054474,-59.3054474,0,0,0.346329745,0.346329745
1.235,-59.2715889,-59.2715889,0,0,0.346256879,0.346256879
1.24,-59.2377011,-59.2377011,0,0,0.346184195,0.346184195
1.245,-59.2037845,-59.2037845,0,0,0.346111694,0.346111694
1.25,-59.1698394,-59.1698394,0,0,0.346039376,0.346039376
1.255,-59.1358662,-59.1358662,0,0,0.34596724,0.34596724
1.26,-59.1018654,-59.1018654,0,0,0.345895286,0.345895286
1.265,-59.0678374,-59.0678374,0,0,0.345823513,0.345823513
1.27,-59.0337825,-59.0337825,0,0,0.345751922,0.345751922
1.275,-58.9997013,-58.9997013,0,0,0.345680511,0.345680511
1.28,-58.9655939,-58.9655939,0,0,0.34560928,0.34560928
1.285,-58.931461,-58.931461,0,0,0.34553823,0.34553823
1.29,-58.8973028,-58.8973028,0,0,0.345467359,0.345467359
1.295,-58.8631197,-58.8631197,0,0,0.345396668,0.345396668
1.3,-58.8289121,-58.8289121,0,0,0.345326156,0.345326156
1.305,-58.7946805,-58.7946805,0,0,0.345255822,0.345255822
1.31,-58.7604251,-58.7604251,0,0,0.345185667,0.345185667
1.315,-58.7261465,-58.7261465,0,0,0.345115689,0.345115689
1.32,-58.6918448,-58.6918448,0,0,0.34504589,0.34504589
1.325,-58.6575206,-58.6575206,0,0,0.344976267,0.344976267
1.33,-58.6231741,-58.6231741,0,0,0.344906822,0.344906822
1.335,-58.5888058,-58.5888058,0,0,0.344837553,0.344837553
1.34,-58.554416,-58.554416,0,0,0.344768461,0.344768461
1.345,-58.5200051,-58.5200051,0,0,0.344699544,0.344699544
1.35,-58.4855734,-58.4855734,0,0,0.344630803,0.344630803
1.355,-58.4511213,-58.4511213,0,0,0.344562237,0.344562237
1.36,-58.4166492,-58.4166492,0,0,0.344493846,0.344493846
1.365,-58.3821573,-58.3821573,0,0,0.34442563,0.34442563
1.37,-58.3476461,-58.3476461,0,0,0.344357588,0.344357588
1.375,-58.3131158,-58.3131158,0,0,0.34428972,0.34428972
1.38,-58.2785669,-58.2785669,0,0,0.344222026,0.344222026
1.385,-58.2439997,-58.2439997,0,0,0.344154505,0.344154505
1.39,-58.2094145,-58.2094145,0,0,0.344087157,0.344087157
1.395,-58.1748116,-58.1748116,0,0,0.344019981,0.344019981
1.4,-58.1401914,-58.1401914,0,0,0.343952978,0.343952978
1.405,-58.1055542,-58.1055542,0,0,0.343886146,0.343886146
1.41,-58.0709004,-58.0709004,0,0,0.343819486,0.343819486
1.415,-58.0362302,-58.0362302,0,0,0.343752998,0.343752998
1.42,-58.001544,-58.001544,0,0,0.34368668,0.34368668
1.425,-57.9668421,-57.9668421,0,0,0.343620533,0.343620533
1.43,-57.9321249,-57.9321249,0,0,0.343554557,0.343554557
1.435,-57.8973926,-57.8973926,0,0,0.34348875,0.34348875
1.44,-57.8626456,-57.8626456,0,0,0.343423113,0.343423113
1.445,-57.8278841,-57.8278841,0,0,0.343357646,0.343357646
1.45,-57.7931085,-57.7931085,0,0,0.343292347,0.343292347
1.455,-57.7583192,-57.7583192,0,0,0.343227217,0.343227217
1.46,-57.7235163,-57.7235163,0,0,0.343162256,0.343162256
1.465,-57.6887003,-57.6887003,0,0,0.343097462,0.343097462
1.47,-57.6538713,-57.6538713,0,0,0.343032836,0.343032836
1.475,-57.6190298,-57.6190298,0,0,0.342968378,0.342968378
1.48,-57.5841759,-57.5841759,0,0,0.342904087,0.342904087
1.485,-57.5493101,-57.5493101,0,0,0.342839963,0.342839963
