t,x,y,z,vx,vy,vz,roll,pitch,yaw,mass,mach,thrust
1.175,741.788177,0,584.253067,594.872995,0,411.030908,0,0,0,22,2.13895954,0
1.18,744.761796,0,586.306723,594.574616,0,410.431499,0,0,0,22,2.13727577,0
1.185,747.733924,0,588.357385,594.276404,0,409.833509,0,0,0,22,2.13559506,0
1.19,750.704561,0,590.405061,593.97836,0,409.236934,0,0,0,22,2.13391741,0
1.195,753.673708,0,592.449758,593.680484,0,408.641771,0,0,0,22,2.13224282,0
1.2,756.641366,0,594.491482,593.382776,0,408.048015,0,0,0,22,2.13057127,0
1.205,759.607536,0,596.530242,593.085237,0,407.455662,0,0,0,22,2.12890275,0
1.21,762.572219,0,598.566043,592.787865,0,406.864708,0,0,0,22,2.12723726,0
1.215,765.535415,0,600.598892,592.490662,0,406.275151,0,0,0,22,2.12557479,0
1.22,768.497126,0,602.628798,592.193628,0,405.686984,0,0,0,22,2.12391533,0
1.225,771.457352,0,604.655766,591.896763,0,405.100206,0,0,0,22,2.12225886,0
1.23,774.416094,0,606.679803,591.600066,0,404.514811,0,0,0,22,2.12060538,0
1.235,777.373353,0,608.700917,591.303539,0,403.930796,0,0,0,22,2.11895489,0
1.24,780.32913,0,610.719115,591.007181,0,403.348157,0,0,0,22,2.11730737,0
1.245,783.283425,0,612.734402,590.710993,0,402.76689,0,0,0,22,2.11566281,0
1.25,786.23624,0,614.746787,590.414974,0,402.186992,0,0,0,22,2.11402121,0
1.255,789.187575,0,616.756275,590.119124,0,401.608458,0,0,0,22,2.11238256,0
1.26,792.137432,0,618.762875,589.823445,0,401.031285,0,0,0,22,2.11074685,0
1.265,795.08581,0,620.766592,589.527936,0,400.455469,0,0,0,22,2.10911406,0
1.27,798.032712,0,622.767433,589.232597,0,399.881006,0,0,0,22,2.1074842,0
1.275,800.978137,0,624.765405,588.937428,0,399.307892,0,0,0,22,2.10585726,0
1.28,803.922086,0,626.760515,588.642429,0,398.736124,0,0,0,22,2.10423322,0
1.285,806.864561,0,628.75277,588.347601,0,398.165697,0,0,0,22,2.10261207,0
1.29,809.805563,0,630.742175,588.052944,0,397.596609,0,0,0,22,2.10099381,0
1.295,812.745091,0,632.728739,587.758457,0,397.028855,0,0,0,22,2.09937844,0
1.3,815.683148,0,634.712467,587.464142,0,396.462432,0,0,0,22,2.09776593,0
1.305,818.619733,0,636.693367,587.169997,0,395.897336,0,0,0,22,2.09615629,0
1.31,821.554848,0,638.671444,586.876024,0,395.333563,0,0,0,22,2.09454951,0
1.315,824.488494,0,640.646706,586.582222,0,394.77111,0,0,0,22,2.09294557,0
1.32,827.420671,0,642.619158,586.288591,0,394.209972,0,0,0,22,2.09134447,0
1.325,830.35138,0,644.588809,585.995132,0,393.650147,0,0,0,22,2.08974621,0
