t,accel_cmd_x,accel_cmd_y,accel_cmd_z,fin_x,fin_y,fin_z,los_angle,los_rate,v_closing,range,nav_x,nav_y,nav_z
4.325,0.518583534,0,-1.53172041,0,0,0,0.326449658,0.000536942615,752.932386,5745.82144,7789,0,3327
4.33,0.505100902,0,-1.49191029,0,0,0,0.326447007,0.000523169161,752.669879,5742.05744,7787.6,0,3326.8
4.335,0.491644761,0,-1.4521774,0,0,0,0.326444426,0.000509413106,752.407544,5738.29474,7786.2,0,3326.6
4.34,0.478215048,0,-1.41252157,0,0,0,0.326441913,0.000495674422,752.145381,5734.53336,7784.8,0,3326.4
4.345,0.464811699,0,-1.37294264,0,0,0,0.326439469,0.000481953078,751.883389,5730.77329,7783.4,0,3326.2
4.35,0.451434649,0,-1.33344047,0,0,0,0.326437094,0.000468249045,751.62157,5727.01453,7782,0,3326
4.355,0.438083836,0,-1.29401488,0,0,0,0.326434787,0.000454562295,751.359922,5723.25707,7780.6,0,3325.8
4.36,0.424759195,0,-1.25466571,0,0,0,0.326432548,0.000440892796,751.098445,5719.50093,7779.2,0,3325.6
4.365,0.411460663,0,-1.21539282,0,0,0,0.326430378,0.00042724052,750.837141,5715.74609,7777.8,0,3325.4
4.37,0.398188177,0,-1.17619603,0,0,0,0.326428275,0.000413605439,750.576008,5711.99255,7776.4,0,3325.2
4.375,0.384941674,0,-1.1370752,0,0,0,0.326426241,0.000399987521,750.315047,5708.24033,7775,0,3325
4.38,0.371721091,0,-1.09803017,0,0,0,0.326424275,0.000386386739,750.054257,5704.4894,7773.6,0,3324.8
4.385,0.358526365,0,-1.05906077,0,0,0,0.326422377,0.000372803062,749.793639,5700.73978,7772.2,0,3324.6
4.39,0.345357434,0,-1.02016685,0,0,0,0.326420547,0.000359236462,749.533192,5696.99147,7770.8,0,3324.4
4.395,0.332214235,0,-0.98134826,0,0,0,0.326418785,0.00034568691,749.272917,5693.24445,7769.4,0,3324.2
4.4,0.319096705,0,-0.942604833,0,0,0,0.32641709,0.000332154376,749.012813,5689.49874,7768,0,3324
4.405,0.306004782,0,-0.903936417,0,0,0,0.326415463,0.000318638832,748.752881,5685.75432,7766.6,0,3323.8
4.41,0.292938405,0,-0.865342856,0,0,0,0.326413904,0.000305140248,748.493119,5682.01121,7765.2,0,3323.6
4.415,0.279897512,0,-0.826823993,0,0,0,0.326412412,0.000291658596,748.23353,5678.26939,7763.8,0,3323.4
4.42,0.26688204,0,-0.788379673,0,0,0,0.326410987,0.000278193846,747.974111,5674.52887,7762.4,0,3323.2
4.425,0.253891928,0,-0.750009742,0,0,0,0.32640963,0.00026474597,747.714864,5670.78965,7761,0,3323
4.43,0.240927114,0,-0.711714043,0,0,0,0.32640834,0.000251314938,747.455788,5667.05172,7759.6,0,3322.8
