t,x,y,z,vx,vy,vz
1.515,8575.8,0,3439.4,-280,0,-40
1.52,8574.4,0,3439.2,-280,0,-40
1.525,8573,0,3439,-280,0,-40
1.53,8571.6,0,3438.8,-280,0,-40
1.535,8570.2,0,3438.6,-280,0,-40
1.54,8568.8,0,3438.4,-280,0,-40
1.545,8567.4,0,3438.2,-280,0,-40
1.55,8566,0,3438,-280,0,-40
1.555,8564.6,0,3437.8,-280,0,-40
1.56,8563.2,0,3437.6,-280,0,-40
1.565,8561.8,0,3437.4,-280,0,-40
1.57,8560.4,0,3437.2,-280,0,-40
1.575,8559,0,3437,-280,0,-40
1.58,8557.6,0,3436.8,-280,0,-40
1.585,8556.2,0,3436.6,-280,0,-40
1.59,8554.8,0,3436.4,-280,0,-40
1.595,8553.4,0,3436.2,-280,0,-40
1.6,8552,0,3436,-280,0,-40
1.605,8550.6,0,3435.8,-280,0,-40
1.61,8549.2,0,3435.6,-280,0,-40
1.615,8547.8,0,3435.4,-280,0,-40
1.62,8546.4,0,3435.2,-280,0,-40
1.625,8545,0,3435,-280,0,-40
1.63,8543.6,0,3434.8,-280,0,-40
1.635,8542.2,0,3434.6,-280,0,-40
1.64,8540.8,0,3434.4,-280,0,-40
1.645,8539.4,0,3434.2,-280,0,-40
1.65,8538,0,3434,-280,0,-40
1.655,8536.6,0,3433.8,-280,0,-40
1.66,8535.2,0,3433.6,-280,0,-40
1.665,8533.8,0,3433.4,-280,0,-40
1.67,8532.4,0,3433.2,-280,0,-40
1.675,8531,0,3433,-280,0,-40
1.68,8529.6,0,3432.8,-280,0,-40
1.685,8528.2,0,3432.6,-280,0,-40
1.69,8526.8,0,3432.4,-280,0,-40
1.695,8525.4,0,3432.2,-280,0,-40
1.7,8524,0,3432,-280,0,-40
1.705,8522.6,0,3431.8,-280,0,-40
1.71,8521.2,0,3431.6,-280,0,-40
1.715,8519.8,0,3431.4,-280,0,-40
1.72,8518.4,0,3431.2,-280,0,-40
1.725,8517,0,3431,-280,0,-40
1.73,8515.6,0,3430.8,-280,0,-40
1.735,8514.2,0,3430.6,-280,0,-40
1.74,8512.8,0,3430.4,-280,0,-40
1.745,8511.4,0,3430.2,-280,0,-40
1.75,8510,0,3430,-280,0,-40
1.755,8508.6,0,3429.8,-280,0,-40
1.76,8507.2,0,3429.6,-280,0,-40
1.765,8505.8,0,3429.4,-280,0,-40
1.77,8504.4,0,3429.2,-280,0,-40
1.775,8503,0,3429,-280,0,-40
1.78,8501.6,0,3428.8,-280,0,-40
1.785,8500.2,0,3428.6,-280,0,-40
1.79,8498.8,0,3428.4,-280,0,-40
1.795,8497.4,0,3428.2,-280,0,-40
1.8,8496,0,3428,-280,0,-40
1.805,8494.6,0,3427.8,-280,0,-40
1.81,8493.2,0,3427.6,-280,0,-40
1.815,8491.8,0,3427.4,-280,0,-40
1.82,8490.4,0,3427.2,-280,0,-40
1.825,8489,0,3427,-280,0,-40
1.83,8487.6,0,3426.8,-280,0,-40
1.835,8486.2,0,3426.6,-280,0,-40
1.84,8484.8,0,3426.4,-280,0,-40
1.845,8483.4,0,3426.2,-280,0,-40
1.85,8482,0,3426,-280,0,-40
1.855,8480.6,0,3425.8,-280,0,-40
1.86,8479.2,0,3425.6,-280,0,-40
1.865,8477.8,0,3425.4,-280,0,-40
1.87,8476.4,0,3425.2,-280,0,-40
1.875,8475,0,3425,-280,0,-40
1.88,8473.6,0,3424.8,-280,0,-40
1.885,8472.2,0,3424.6,-280,0,-40
1.89,8470.8,0,3424.4,-280,0,-40
1.895,8469.4,0,3424.2,-280,0,-40
1.9,8468,0,3424,-280,0,-40
1.905,8466.6,0,3423.8,-280,0,-40
1.91,8465.2,0,3423.6,-280,0,-40
1.915,8463.8,0,3423.4,-280,0,-40
1.92,8462.4,0,3423.2,-280,0,-40
1.925,8461,0,3423,-280,0,-40
1.93,8459.6,0,3422.8,-280,0,-40
1.935,8458.2,0,3422.6,-280,0,-40
1.94,8456.8,0,3422.4,-280,0,-40
1.945,8455.4,0,3422.2,-280,0,-40
1.95,8454,0,3422,-280,0,-40
1.955,8452.6,0,3421.8,-280,0,-40
1.96,8451.2,0,3421.6,-280,0,-40
1.965,8449.8,0,3421.4,-280,0,-40
1.97,8448.4,0,3421.2,-280,0,-40
1.975,8447,0,3421,-280,0,-40
1.98,8445.6,0,3420.8,-280,0,-40
1.985,8444.2,0,3420.6,-280,0,-40
1.99,8442.8,0,3420.4,-280,0,-40
1.995,8441.4,0,3420.2,-280,0,-40
2,8440,0,3420,-280,0,-40
2.005,8438.6,0,3419.8,-280,0,-40
2.01,8437.2,0,3419.6,-280,0,-40
2.015,8435.8,0,3419.4,-280,0,-40
2.02,8434.4,0,3419.2,-280,0,-40
2.025,8433,0,3419,-280,0,-40
2.03,8431.6,0,3418.8,-280,0,-40
2.035,8430.2,0,3418.6,-280,0,-40
2.04,8428.8,0,3418.4,-280,0,-40
2.045,8427.4,0,3418.2,-280,0,-40
2.05,8426,0,3418,-280,0,-40
2.055,8424.6,0,3417.8,-280,0,-40
2.06,8423.2,0,3417.6,-280,0,-40
2.065,8421.8,0,3417.4,-280,0,-40
2.07,8420.4,0,3417.2,-280,0,-40
2.075,8419,0,3417,-280,0,-40
2.08,8417.6,0,3416.8,-280,0,-40
2.085,8416.2,0,3416.6,-280,0,-40
2.09,8414.8,0,3416.4,-280,0,-40
2.095,8413.4,0,3416.2,-280,0,-40
2.1,8412,0,3416,-280,0,-40
2.105,8410.6,0,3415.8,-280,0,-40
2.11,8409.2,0,3415.6,-280,0,-40
2.115,8407.8,0,3415.4,-280,0,-40
2.12,8406.4,0,3415.2,-280,0,-40
2.125,8405,0,3415,-280,0,-40
2.13,8403.6,0,3414.8,-280,0,-40
2.135,8402.2,0,3414.6,-280,0,-40
2.14,8400.8,0,3414.4,-280,0,-40
2.145,8399.4,0,3414.2,-280,0,-40
2.15,8398,0,3414,-280,0,-40
2.155,8396.6,0,3413.8,-280,0,-40
2.16,8395.2,0,3413.6,-280,0,-40
2.165,8393.8,0,3413.4,-280,0,-40
2.17,8392.4,0,3413.2,-280,0,-40
2.175,8391,0,3413,-280,0,-40
2.18,8389.6,0,3412.8,-280,0,-40
2.185,8388.2,0,3412.6,-280,0,-40
2.19,8386.8,0,3412.4,-280,0,-40
2.195,8385.4,0,3412.2,-280,0,-40
2.2,8384,0,3412,-280,0,-40
2.205,8382.6,0,3411.8,-280,0,-40
2.21,8381.2,0,3411.6,-280,0,-40
2.215,8379.8,0,3411.4,-280,0,-40
2.22,8378.4,0,3411.2,-280,0,-40
2.225,8377,0,3411,-280,0,-40
